minilm_sim,lstm_prob,tfidf_sim,jaccard_sim,token_overlap,levenshtein_dist,label,group,source,split
0.51573604,0.2912582457065582,0.04608382027766121,0.08333333333333333,1,58,1,0,nli_triplet,train
0.5075072,0.9557997584342957,0.012062578675431212,0.1,1,39,1,2,nli_triplet,train
-0.024850795,0.1954377144575119,0.007789715269389588,0.058823529411764705,1,86,0,3,nli_triplet,train
0.5679351,0.3874867558479309,0.10044896308376926,0.09090909090909091,1,35,1,5,nli_triplet,train
0.49480528,0.18349075317382812,0.13730523575439393,0.2,2,35,0,6,nli_triplet,train
0.42860132,0.35607531666755676,0.0,0.0,0,90,0,8,ml_paraphrase,train
0.9694687,0.9895390868186951,0.7440249729028531,0.45,9,93,1,9,ml_paraphrase,train
0.3387435,0.016481906175613403,0.04065539305620114,0.0,0,76,0,10,nli_triplet,train
0.23566903,0.05440838262438774,0.07513891033079291,0.2,2,47,0,11,nli_triplet,train
0.5832666,0.3327297866344452,0.14059512860166556,0.25,4,62,1,12,nli_triplet,train
0.6288874,0.272914856672287,0.14460092629066962,0.05263157894736842,1,109,1,14,nli_triplet,train
0.14020261,0.33936607837677,0.0,0.0,0,73,0,15,nli_triplet,train
0.8861553,0.06067812442779541,0.12589711534691583,0.18181818181818182,2,35,1,16,nli_triplet,train
0.8963913,0.8124811053276062,0.4073968865838999,0.125,2,44,1,17,ml_paraphrase,train
0.73133826,0.8054212331771851,0.28327580091867127,0.23529411764705882,4,77,1,18,nli_triplet,train
0.19538145,0.9222800135612488,0.15743959036489247,0.05,1,87,0,19,nli_triplet,train
0.40462917,0.038307953625917435,0.0,0.0,0,89,0,20,nli_triplet,train
0.18832129,0.33482304215431213,0.06943482144803978,0.0,0,135,1,21,nli_triplet,train
0.30256638,0.5093897581100464,0.0,0.0,0,90,0,22,nli_triplet,train
0.1886043,0.9759702682495117,0.0,0.0,0,49,1,23,nli_triplet,train
0.7456083,0.9505557417869568,0.3055034128221788,0.2,4,76,1,24,ml_paraphrase,train
0.80603456,0.9509837031364441,0.10425848667835244,0.08333333333333333,1,40,1,25,nli_triplet,train
0.82205343,0.9121960997581482,0.5092704212306378,0.18518518518518517,5,98,1,26,ml_paraphrase,train
-0.0093117915,0.198286235332489,0.0,0.0,0,79,0,27,ml_paraphrase,train
0.4312235,0.8401615619659424,0.2727868599473912,0.15384615384615385,2,59,0,28,nli_triplet,train
